treatment_class,treatment,orig_var,variable,value,replacement
MappedCodeTransform,deviation_code,v_3985,v_3985_deviation_code,a,1.4144769157632535
MappedCodeTransform,deviation_code,v_3985,v_3985_deviation_code,b,1.464727322196142
MappedCodeTransform,prevalence_code,v_3985,v_3985_prevalence_code,a,0.55
MappedCodeTransform,prevalence_code,v_3985,v_3985_prevalence_code,b,0.45
IndicatorCodeTransform,indicator_code,v_3985,v_3985_lev_a,a,1.0
IndicatorCodeTransform,indicator_code,v_3985,v_3985_lev_b,b,1.0
MappedCodeTransform,impact_code,v_2014,v_2014_impact_code,a,0.00031845106577664236
MappedCodeTransform,impact_code,v_2014,v_2014_impact_code,b,-0.00035042035525204474
MappedCodeTransform,deviation_code,v_2014,v_2014_deviation_code,a,1.47754417276048
MappedCodeTransform,deviation_code,v_2014,v_2014_deviation_code,b,1.406256513634
MappedCodeTransform,prevalence_code,v_2014,v_2014_prevalence_code,a,0.49
MappedCodeTransform,prevalence_code,v_2014,v_2014_prevalence_code,b,0.51
IndicatorCodeTransform,indicator_code,v_2014,v_2014_lev_b,b,1.0
IndicatorCodeTransform,indicator_code,v_2014,v_2014_lev_a,a,1.0
MappedCodeTransform,impact_code,v_4818,v_4818_impact_code,a,-0.0027834668498555493
MappedCodeTransform,impact_code,v_4818,v_4818_impact_code,b,0.002318619395799749
MappedCodeTransform,deviation_code,v_4818,v_4818_deviation_code,a,1.3676506638299226
MappedCodeTransform,deviation_code,v_4818,v_4818_deviation_code,b,1.505882729620088
MappedCodeTransform,prevalence_code,v_4818,v_4818_prevalence_code,a,0.48
MappedCodeTransform,prevalence_code,v_4818,v_4818_prevalence_code,b,0.52
IndicatorCodeTransform,indicator_code,v_4818,v_4818_lev_b,b,1.0
IndicatorCodeTransform,indicator_code,v_4818,v_4818_lev_a,a,1.0
MappedCodeTransform,impact_code,v_2131,v_2131_impact_code,a,-0.14392983882016003
MappedCodeTransform,impact_code,v_2131,v_2131_impact_code,b,0.1597595367045352
MappedCodeTransform,deviation_code,v_2131,v_2131_deviation_code,a,1.3578158873299357
MappedCodeTransform,deviation_code,v_2131,v_2131_deviation_code,b,1.5059645377449737
MappedCodeTransform,prevalence_code,v_2131,v_2131_prevalence_code,a,0.56
MappedCodeTransform,prevalence_code,v_2131,v_2131_prevalence_code,b,0.44
IndicatorCodeTransform,indicator_code,v_2131,v_2131_lev_a,a,1.0
IndicatorCodeTransform,indicator_code,v_2131,v_2131_lev_b,b,1.0
MappedCodeTransform,impact_code,v_3520,v_3520_impact_code,a,-0.01592943664438461
MappedCodeTransform,impact_code,v_3520,v_3520_impact_code,b,0.01980163955800952
MappedCodeTransform,deviation_code,v_3520,v_3520_deviation_code,a,1.5100586129368878
MappedCodeTransform,deviation_code,v_3520,v_3520_deviation_code,b,1.3481233671159818
MappedCodeTransform,prevalence_code,v_3520,v_3520_prevalence_code,a,0.55
MappedCodeTransform,prevalence_code,v_3520,v_3520_prevalence_code,b,0.45
IndicatorCodeTransform,indicator_code,v_3520,v_3520_lev_a,a,1.0
IndicatorCodeTransform,indicator_code,v_3520,v_3520_lev_b,b,1.0
MappedCodeTransform,impact_code,v_1476,v_1476_impact_code,a,0.016169219953745262
MappedCodeTransform,impact_code,v_1476,v_1476_impact_code,b,-0.014450054277411788
MappedCodeTransform,deviation_code,v_1476,v_1476_deviation_code,a,1.3994609833875054
MappedCodeTransform,deviation_code,v_1476,v_1476_deviation_code,b,1.4732383225434418
MappedCodeTransform,prevalence_code,v_1476,v_1476_prevalence_code,a,0.46
MappedCodeTransform,prevalence_code,v_1476,v_1476_prevalence_code,b,0.54
IndicatorCodeTransform,indicator_code,v_1476,v_1476_lev_b,b,1.0
IndicatorCodeTransform,indicator_code,v_1476,v_1476_lev_a,a,1.0
MappedCodeTransform,impact_code,v_4947,v_4947_impact_code,a,0.04389431147700567
MappedCodeTransform,impact_code,v_4947,v_4947_impact_code,b,-0.057240245125565394
MappedCodeTransform,deviation_code,v_4947,v_4947_deviation_code,a,1.5330112687728965
MappedCodeTransform,deviation_code,v_4947,v_4947_deviation_code,b,1.3086205857574544
MappedCodeTransform,prevalence_code,v_4947,v_4947_prevalence_code,a,0.55
MappedCodeTransform,prevalence_code,v_4947,v_4947_prevalence_code,b,0.45
IndicatorCodeTransform,indicator_code,v_4947,v_4947_lev_a,a,1.0
IndicatorCodeTransform,indicator_code,v_4947,v_4947_lev_b,b,1.0
MappedCodeTransform,impact_code,v_4908,v_4908_impact_code,a,0.07389858987339135
MappedCodeTransform,impact_code,v_4908,v_4908_impact_code,b,-0.07769415210470922
MappedCodeTransform,deviation_code,v_4908,v_4908_deviation_code,a,1.5020137222180487
MappedCodeTransform,deviation_code,v_4908,v_4908_deviation_code,b,1.3682162483442455
MappedCodeTransform,prevalence_code,v_4908,v_4908_prevalence_code,a,0.48
MappedCodeTransform,prevalence_code,v_4908,v_4908_prevalence_code,b,0.52
IndicatorCodeTransform,indicator_code,v_4908,v_4908_lev_b,b,1.0
IndicatorCodeTransform,indicator_code,v_4908,v_4908_lev_a,a,1.0
MappedCodeTransform,impact_code,v_1405,v_1405_impact_code,a,0.012869789616444825
MappedCodeTransform,impact_code,v_1405,v_1405_impact_code,b,-0.008864221114190255
MappedCodeTransform,deviation_code,v_1405,v_1405_deviation_code,a,1.2703918347832044
MappedCodeTransform,deviation_code,v_1405,v_1405_deviation_code,b,1.5981962957602651
MappedCodeTransform,prevalence_code,v_1405,v_1405_prevalence_code,a,0.51
MappedCodeTransform,prevalence_code,v_1405,v_1405_prevalence_code,b,0.49
IndicatorCodeTransform,indicator_code,v_1405,v_1405_lev_a,a,1.0
IndicatorCodeTransform,indicator_code,v_1405,v_1405_lev_b,b,1.0
MappedCodeTransform,impact_code,v_235,v_235_impact_code,a,-0.014837041363718544
MappedCodeTransform,impact_code,v_235,v_235_impact_code,b,0.019053545963271832
MappedCodeTransform,deviation_code,v_235,v_235_deviation_code,a,1.5122910590192367
MappedCodeTransform,deviation_code,v_235,v_235_deviation_code,b,1.3368254527369314
MappedCodeTransform,prevalence_code,v_235,v_235_prevalence_code,a,0.57
MappedCodeTransform,prevalence_code,v_235,v_235_prevalence_code,b,0.43
IndicatorCodeTransform,indicator_code,v_235,v_235_lev_a,a,1.0
IndicatorCodeTransform,indicator_code,v_235,v_235_lev_b,b,1.0
MappedCodeTransform,impact_code,v_3033,v_3033_impact_code,a,0.10182260939648204
MappedCodeTransform,impact_code,v_3033,v_3033_impact_code,b,-0.1049446582664504
MappedCodeTransform,deviation_code,v_3033,v_3033_deviation_code,a,1.416643296822176
MappedCodeTransform,deviation_code,v_3033,v_3033_deviation_code,b,1.446276708472999
MappedCodeTransform,prevalence_code,v_3033,v_3033_prevalence_code,a,0.52
MappedCodeTransform,prevalence_code,v_3033,v_3033_prevalence_code,b,0.48
IndicatorCodeTransform,indicator_code,v_3033,v_3033_lev_a,a,1.0
IndicatorCodeTransform,indicator_code,v_3033,v_3033_lev_b,b,1.0
MappedCodeTransform,impact_code,v_151,v_151_impact_code,a,0.10886690876333244
MappedCodeTransform,impact_code,v_151,v_151_impact_code,b,-0.10071808801657767
MappedCodeTransform,deviation_code,v_151,v_151_deviation_code,a,1.4022408891777245
MappedCodeTransform,deviation_code,v_151,v_151_deviation_code,b,1.456616985872104
MappedCodeTransform,prevalence_code,v_151,v_151_prevalence_code,a,0.48
MappedCodeTransform,prevalence_code,v_151,v_151_prevalence_code,b,0.52
IndicatorCodeTransform,indicator_code,v_151,v_151_lev_b,b,1.0
IndicatorCodeTransform,indicator_code,v_151,v_151_lev_a,a,1.0
MappedCodeTransform,impact_code,v_1091,v_1091_impact_code,a,0.005358618115080888
MappedCodeTransform,impact_code,v_1091,v_1091_impact_code,b,-0.006058191373296297
MappedCodeTransform,deviation_code,v_1091,v_1091_deviation_code,a,1.4954445037523216
MappedCodeTransform,deviation_code,v_1091,v_1091_deviation_code,b,1.3886068102819393
MappedCodeTransform,prevalence_code,v_1091,v_1091_prevalence_code,a,0.48
MappedCodeTransform,prevalence_code,v_1091,v_1091_prevalence_code,b,0.52
IndicatorCodeTransform,indicator_code,v_1091,v_1091_lev_b,b,1.0
IndicatorCodeTransform,indicator_code,v_1091,v_1091_lev_a,a,1.0
MappedCodeTransform,impact_code,v_2465,v_2465_impact_code,a,0.18548782069017614
MappedCodeTransform,impact_code,v_2465,v_2465_impact_code,b,-0.19202491507118707
MappedCodeTransform,deviation_code,v_2465,v_2465_deviation_code,a,1.3416795064041183
MappedCodeTransform,deviation_code,v_2465,v_2465_deviation_code,b,1.5021354962194304
MappedCodeTransform,prevalence_code,v_2465,v_2465_prevalence_code,a,0.53
MappedCodeTransform,prevalence_code,v_2465,v_2465_prevalence_code,b,0.47
IndicatorCodeTransform,indicator_code,v_2465,v_2465_lev_a,a,1.0
IndicatorCodeTransform,indicator_code,v_2465,v_2465_lev_b,b,1.0
MappedCodeTransform,impact_code,v_119,v_119_impact_code,a,-0.0032863047734902973
MappedCodeTransform,impact_code,v_119,v_119_impact_code,b,0.003462465286602213
MappedCodeTransform,deviation_code,v_119,v_119_deviation_code,a,1.4662386285159519
MappedCodeTransform,deviation_code,v_119,v_119_deviation_code,b,1.4185378300001028
MappedCodeTransform,prevalence_code,v_119,v_119_prevalence_code,a,0.47
MappedCodeTransform,prevalence_code,v_119,v_119_prevalence_code,b,0.53
IndicatorCodeTransform,indicator_code,v_119,v_119_lev_b,b,1.0
IndicatorCodeTransform,indicator_code,v_119,v_119_lev_a,a,1.0
MappedCodeTransform,impact_code,v_2640,v_2640_impact_code,a,-0.12492221982450823
MappedCodeTransform,impact_code,v_2640,v_2640_impact_code,b,0.13698055937518674
MappedCodeTransform,deviation_code,v_2640,v_2640_deviation_code,a,1.5206212262385956
MappedCodeTransform,deviation_code,v_2640,v_2640_deviation_code,b,1.328131154722752
MappedCodeTransform,prevalence_code,v_2640,v_2640_prevalence_code,a,0.5
MappedCodeTransform,prevalence_code,v_2640,v_2640_prevalence_code,b,0.5
IndicatorCodeTransform,indicator_code,v_2640,v_2640_lev_b,b,1.0
IndicatorCodeTransform,indicator_code,v_2640,v_2640_lev_a,a,1.0
MappedCodeTransform,impact_code,v_502,v_502_impact_code,a,0.34428118756755416
MappedCodeTransform,impact_code,v_502,v_502_impact_code,b,-0.37529660678197607
MappedCodeTransform,deviation_code,v_502,v_502_deviation_code,a,1.3185708358496286
MappedCodeTransform,deviation_code,v_502,v_502_deviation_code,b,1.4523857381951997
MappedCodeTransform,prevalence_code,v_502,v_502_prevalence_code,a,0.53
MappedCodeTransform,prevalence_code,v_502,v_502_prevalence_code,b,0.47
IndicatorCodeTransform,indicator_code,v_502,v_502_lev_a,a,1.0
IndicatorCodeTransform,indicator_code,v_502,v_502_lev_b,b,1.0
MappedCodeTransform,impact_code,v_2978,v_2978_impact_code,a,0.00753685709658422
MappedCodeTransform,impact_code,v_2978,v_2978_impact_code,b,-0.00916092245855641
MappedCodeTransform,deviation_code,v_2978,v_2978_deviation_code,a,1.550177433360118
MappedCodeTransform,deviation_code,v_2978,v_2978_deviation_code,b,1.3524767034319005
MappedCodeTransform,prevalence_code,v_2978,v_2978_prevalence_code,a,0.43
MappedCodeTransform,prevalence_code,v_2978,v_2978_prevalence_code,b,0.57
IndicatorCodeTransform,indicator_code,v_2978,v_2978_lev_b,b,1.0
IndicatorCodeTransform,indicator_code,v_2978,v_2978_lev_a,a,1.0
MappedCodeTransform,impact_code,v_4520,v_4520_impact_code,a,0.009489398713393934
MappedCodeTransform,impact_code,v_4520,v_4520_impact_code,b,-0.008442547346011721
MappedCodeTransform,deviation_code,v_4520,v_4520_deviation_code,a,1.400150338809866
MappedCodeTransform,deviation_code,v_4520,v_4520_deviation_code,b,1.471239224307434
MappedCodeTransform,prevalence_code,v_4520,v_4520_prevalence_code,a,0.44
MappedCodeTransform,prevalence_code,v_4520,v_4520_prevalence_code,b,0.56
IndicatorCodeTransform,indicator_code,v_4520,v_4520_lev_b,b,1.0
IndicatorCodeTransform,indicator_code,v_4520,v_4520_lev_a,a,1.0
MappedCodeTransform,impact_code,v_1274,v_1274_impact_code,a,-0.09526647234522855
MappedCodeTransform,impact_code,v_1274,v_1274_impact_code,b,0.08641740368743528
MappedCodeTransform,deviation_code,v_1274,v_1274_deviation_code,a,1.368406661009717
MappedCodeTransform,deviation_code,v_1274,v_1274_deviation_code,b,1.4912084992119814
MappedCodeTransform,prevalence_code,v_1274,v_1274_prevalence_code,a,0.49
MappedCodeTransform,prevalence_code,v_1274,v_1274_prevalence_code,b,0.51
IndicatorCodeTransform,indicator_code,v_1274,v_1274_lev_b,b,1.0
IndicatorCodeTransform,indicator_code,v_1274,v_1274_lev_a,a,1.0
MappedCodeTransform,impact_code,v_1423,v_1423_impact_code,a,0.008888522055601075
MappedCodeTransform,impact_code,v_1423,v_1423_impact_code,b,-0.009993666604113077
MappedCodeTransform,deviation_code,v_1423,v_1423_deviation_code,a,1.5121933910732235
MappedCodeTransform,deviation_code,v_1423,v_1423_deviation_code,b,1.3817009279661205
MappedCodeTransform,prevalence_code,v_1423,v_1423_prevalence_code,a,0.44
MappedCodeTransform,prevalence_code,v_1423,v_1423_prevalence_code,b,0.56
IndicatorCodeTransform,indicator_code,v_1423,v_1423_lev_b,b,1.0
IndicatorCodeTransform,indicator_code,v_1423,v_1423_lev_a,a,1.0
MappedCodeTransform,impact_code,v_433,v_433_impact_code,a,-0.000793095862870489
MappedCodeTransform,impact_code,v_433,v_433_impact_code,b,0.0006640651130237173
MappedCodeTransform,deviation_code,v_433,v_433_deviation_code,a,1.3797677707437876
MappedCodeTransform,deviation_code,v_433,v_433_deviation_code,b,1.5168768120551368
MappedCodeTransform,prevalence_code,v_433,v_433_prevalence_code,a,0.56
MappedCodeTransform,prevalence_code,v_433,v_433_prevalence_code,b,0.44
IndicatorCodeTransform,indicator_code,v_433,v_433_lev_a,a,1.0
IndicatorCodeTransform,indicator_code,v_433,v_433_lev_b,b,1.0
MappedCodeTransform,impact_code,v_2235,v_2235_impact_code,a,-0.005832827172903776
MappedCodeTransform,impact_code,v_2235,v_2235_impact_code,b,0.005935177356836459
MappedCodeTransform,deviation_code,v_2235,v_2235_deviation_code,a,1.4516804043681701
MappedCodeTransform,deviation_code,v_2235,v_2235_deviation_code,b,1.430724005643666
MappedCodeTransform,prevalence_code,v_2235,v_2235_prevalence_code,a,0.48
MappedCodeTransform,prevalence_code,v_2235,v_2235_prevalence_code,b,0.52
IndicatorCodeTransform,indicator_code,v_2235,v_2235_lev_b,b,1.0
IndicatorCodeTransform,indicator_code,v_2235,v_2235_lev_a,a,1.0
MappedCodeTransform,impact_code,v_1024,v_1024_impact_code,a,0.0010449337754649727
MappedCodeTransform,impact_code,v_1024,v_1024_impact_code,b,-0.0011411713182819458
MappedCodeTransform,deviation_code,v_1024,v_1024_deviation_code,a,1.4743808756809968
MappedCodeTransform,deviation_code,v_1024,v_1024_deviation_code,b,1.407787048681983
MappedCodeTransform,prevalence_code,v_1024,v_1024_prevalence_code,a,0.5
MappedCodeTransform,prevalence_code,v_1024,v_1024_prevalence_code,b,0.5
IndicatorCodeTransform,indicator_code,v_1024,v_1024_lev_a,a,1.0
IndicatorCodeTransform,indicator_code,v_1024,v_1024_lev_b,b,1.0
MappedCodeTransform,impact_code,v_116,v_116_impact_code,a,-0.00687678661050243
MappedCodeTransform,impact_code,v_116,v_116_impact_code,b,0.007798267993967334
MappedCodeTransform,deviation_code,v_116,v_116_deviation_code,a,1.498355119204898
MappedCodeTransform,deviation_code,v_116,v_116_deviation_code,b,1.385339219855754
MappedCodeTransform,prevalence_code,v_116,v_116_prevalence_code,a,0.48
MappedCodeTransform,prevalence_code,v_116,v_116_prevalence_code,b,0.52
IndicatorCodeTransform,indicator_code,v_116,v_116_lev_b,b,1.0
IndicatorCodeTransform,indicator_code,v_116,v_116_lev_a,a,1.0
MappedCodeTransform,impact_code,v_2725,v_2725_impact_code,a,0.05362048301191375
MappedCodeTransform,impact_code,v_2725,v_2725_impact_code,b,-0.04590245996091702
MappedCodeTransform,deviation_code,v_2725,v_2725_deviation_code,a,1.3133374046714643
MappedCodeTransform,deviation_code,v_2725,v_2725_deviation_code,b,1.5641921600713309
MappedCodeTransform,prevalence_code,v_2725,v_2725_prevalence_code,a,0.53
MappedCodeTransform,prevalence_code,v_2725,v_2725_prevalence_code,b,0.47
IndicatorCodeTransform,indicator_code,v_2725,v_2725_lev_a,a,1.0
IndicatorCodeTransform,indicator_code,v_2725,v_2725_lev_b,b,1.0
MappedCodeTransform,impact_code,v_2102,v_2102_impact_code,a,-0.030502074075612458
MappedCodeTransform,impact_code,v_2102,v_2102_impact_code,b,0.02258773057927386
MappedCodeTransform,deviation_code,v_2102,v_2102_deviation_code,a,1.2902085989677339
MappedCodeTransform,deviation_code,v_2102,v_2102_deviation_code,b,1.5585166498268257
MappedCodeTransform,prevalence_code,v_2102,v_2102_prevalence_code,a,0.47
MappedCodeTransform,prevalence_code,v_2102,v_2102_prevalence_code,b,0.53
IndicatorCodeTransform,indicator_code,v_2102,v_2102_lev_b,b,1.0
IndicatorCodeTransform,indicator_code,v_2102,v_2102_lev_a,a,1.0
MappedCodeTransform,impact_code,v_4990,v_4990_impact_code,a,0.020369835016337927
MappedCodeTransform,impact_code,v_4990,v_4990_impact_code,b,-0.016271623153610283
MappedCodeTransform,deviation_code,v_4990,v_4990_deviation_code,a,1.3442742989505614
MappedCodeTransform,deviation_code,v_4990,v_4990_deviation_code,b,1.5127807219854343
MappedCodeTransform,prevalence_code,v_4990,v_4990_prevalence_code,a,0.45
MappedCodeTransform,prevalence_code,v_4990,v_4990_prevalence_code,b,0.55
IndicatorCodeTransform,indicator_code,v_4990,v_4990_lev_b,b,1.0
IndicatorCodeTransform,indicator_code,v_4990,v_4990_lev_a,a,1.0
MappedCodeTransform,impact_code,v_4385,v_4385_impact_code,a,-0.06199642473399396
MappedCodeTransform,impact_code,v_4385,v_4385_impact_code,b,0.0715269183638461
MappedCodeTransform,deviation_code,v_4385,v_4385_deviation_code,a,1.440597372443582
MappedCodeTransform,deviation_code,v_4385,v_4385_deviation_code,b,1.4273082581954988
MappedCodeTransform,prevalence_code,v_4385,v_4385_prevalence_code,a,0.57
MappedCodeTransform,prevalence_code,v_4385,v_4385_prevalence_code,b,0.43
IndicatorCodeTransform,indicator_code,v_4385,v_4385_lev_a,a,1.0
IndicatorCodeTransform,indicator_code,v_4385,v_4385_lev_b,b,1.0
MappedCodeTransform,impact_code,v_4334,v_4334_impact_code,a,-7.154590340889143e-05
MappedCodeTransform,impact_code,v_4334,v_4334_impact_code,b,5.033361772251209e-05
MappedCodeTransform,deviation_code,v_4334,v_4334_deviation_code,a,1.2932515191172507
MappedCodeTransform,deviation_code,v_4334,v_4334_deviation_code,b,1.5478056014976
MappedCodeTransform,prevalence_code,v_4334,v_4334_prevalence_code,a,0.44
MappedCodeTransform,prevalence_code,v_4334,v_4334_prevalence_code,b,0.56
IndicatorCodeTransform,indicator_code,v_4334,v_4334_lev_b,b,1.0
IndicatorCodeTransform,indicator_code,v_4334,v_4334_lev_a,a,1.0
MappedCodeTransform,impact_code,v_2228,v_2228_impact_code,a,0.0020186450265769814
MappedCodeTransform,impact_code,v_2228,v_2228_impact_code,b,-0.0025691752970794174
MappedCodeTransform,deviation_code,v_2228,v_2228_deviation_code,a,1.528637253783871
MappedCodeTransform,deviation_code,v_2228,v_2228_deviation_code,b,1.3442636836674753
MappedCodeTransform,prevalence_code,v_2228,v_2228_prevalence_code,a,0.51
MappedCodeTransform,prevalence_code,v_2228,v_2228_prevalence_code,b,0.49
IndicatorCodeTransform,indicator_code,v_2228,v_2228_lev_a,a,1.0
IndicatorCodeTransform,indicator_code,v_2228,v_2228_lev_b,b,1.0
MappedCodeTransform,impact_code,v_2319,v_2319_impact_code,a,0.02687149354992157
MappedCodeTransform,impact_code,v_2319,v_2319_impact_code,b,-0.02834451734616705
MappedCodeTransform,deviation_code,v_2319,v_2319_deviation_code,a,1.5162207149688276
MappedCodeTransform,deviation_code,v_2319,v_2319_deviation_code,b,1.377567398131264
MappedCodeTransform,prevalence_code,v_2319,v_2319_prevalence_code,a,0.43
MappedCodeTransform,prevalence_code,v_2319,v_2319_prevalence_code,b,0.57
IndicatorCodeTransform,indicator_code,v_2319,v_2319_lev_b,b,1.0
IndicatorCodeTransform,indicator_code,v_2319,v_2319_lev_a,a,1.0
MappedCodeTransform,impact_code,v_3291,v_3291_impact_code,a,-0.027448328246914844
MappedCodeTransform,impact_code,v_3291,v_3291_impact_code,b,0.02401653170884257
MappedCodeTransform,deviation_code,v_3291,v_3291_deviation_code,a,1.4253845756900412
MappedCodeTransform,deviation_code,v_3291,v_3291_deviation_code,b,1.4476843705018807
MappedCodeTransform,prevalence_code,v_3291,v_3291_prevalence_code,a,0.4
MappedCodeTransform,prevalence_code,v_3291,v_3291_prevalence_code,b,0.6
IndicatorCodeTransform,indicator_code,v_3291,v_3291_lev_b,b,1.0
IndicatorCodeTransform,indicator_code,v_3291,v_3291_lev_a,a,1.0
MappedCodeTransform,impact_code,v_3824,v_3824_impact_code,a,0.1425165884250602
MappedCodeTransform,impact_code,v_3824,v_3824_impact_code,b,-0.13916601864241074
MappedCodeTransform,deviation_code,v_3824,v_3824_deviation_code,a,1.4604221663433645
MappedCodeTransform,deviation_code,v_3824,v_3824_deviation_code,b,1.3940846136712044
MappedCodeTransform,prevalence_code,v_3824,v_3824_prevalence_code,a,0.48
MappedCodeTransform,prevalence_code,v_3824,v_3824_prevalence_code,b,0.52
IndicatorCodeTransform,indicator_code,v_3824,v_3824_lev_b,b,1.0
IndicatorCodeTransform,indicator_code,v_3824,v_3824_lev_a,a,1.0
MappedCodeTransform,impact_code,v_2334,v_2334_impact_code,a,-0.051710080918849814
MappedCodeTransform,impact_code,v_2334,v_2334_impact_code,b,0.06224177784456635
MappedCodeTransform,deviation_code,v_2334,v_2334_deviation_code,a,1.5256568104085422
MappedCodeTransform,deviation_code,v_2334,v_2334_deviation_code,b,1.3317160620844366
MappedCodeTransform,prevalence_code,v_2334,v_2334_prevalence_code,a,0.52
MappedCodeTransform,prevalence_code,v_2334,v_2334_prevalence_code,b,0.48
IndicatorCodeTransform,indicator_code,v_2334,v_2334_lev_a,a,1.0
IndicatorCodeTransform,indicator_code,v_2334,v_2334_lev_b,b,1.0
MappedCodeTransform,impact_code,v_480,v_480_impact_code,a,0.005149452115571628
MappedCodeTransform,impact_code,v_480,v_480_impact_code,b,-0.006355410222428324
MappedCodeTransform,deviation_code,v_480,v_480_deviation_code,a,1.5050889027734211
MappedCodeTransform,deviation_code,v_480,v_480_deviation_code,b,1.3542383931331614
MappedCodeTransform,prevalence_code,v_480,v_480_prevalence_code,a,0.56
MappedCodeTransform,prevalence_code,v_480,v_480_prevalence_code,b,0.44
IndicatorCodeTransform,indicator_code,v_480,v_480_lev_a,a,1.0
IndicatorCodeTransform,indicator_code,v_480,v_480_lev_b,b,1.0
MappedCodeTransform,impact_code,v_1923,v_1923_impact_code,a,-0.19919244636220007
MappedCodeTransform,impact_code,v_1923,v_1923_impact_code,b,0.2157902951984585
MappedCodeTransform,deviation_code,v_1923,v_1923_deviation_code,a,1.4437097058494406
MappedCodeTransform,deviation_code,v_1923,v_1923_deviation_code,b,1.385959741780567
MappedCodeTransform,prevalence_code,v_1923,v_1923_prevalence_code,a,0.52
MappedCodeTransform,prevalence_code,v_1923,v_1923_prevalence_code,b,0.48
IndicatorCodeTransform,indicator_code,v_1923,v_1923_lev_a,a,1.0
IndicatorCodeTransform,indicator_code,v_1923,v_1923_lev_b,b,1.0
MappedCodeTransform,impact_code,v_3020,v_3020_impact_code,a,0.015372841030478406
MappedCodeTransform,impact_code,v_3020,v_3020_impact_code,b,-0.010720034900851053
MappedCodeTransform,deviation_code,v_3020,v_3020_deviation_code,a,1.271855187603061
MappedCodeTransform,deviation_code,v_3020,v_3020_deviation_code,b,1.590622821157936
MappedCodeTransform,prevalence_code,v_3020,v_3020_prevalence_code,a,0.5
MappedCodeTransform,prevalence_code,v_3020,v_3020_prevalence_code,b,0.5
IndicatorCodeTransform,indicator_code,v_3020,v_3020_lev_a,a,1.0
IndicatorCodeTransform,indicator_code,v_3020,v_3020_lev_b,b,1.0
MappedCodeTransform,impact_code,v_4815,v_4815_impact_code,a,0.03883917925627368
MappedCodeTransform,impact_code,v_4815,v_4815_impact_code,b,-0.03337221813199757
MappedCodeTransform,deviation_code,v_4815,v_4815_deviation_code,a,1.3343372945778695
MappedCodeTransform,deviation_code,v_4815,v_4815_deviation_code,b,1.546538641293485
MappedCodeTransform,prevalence_code,v_4815,v_4815_prevalence_code,a,0.53
MappedCodeTransform,prevalence_code,v_4815,v_4815_prevalence_code,b,0.47
IndicatorCodeTransform,indicator_code,v_4815,v_4815_lev_a,a,1.0
IndicatorCodeTransform,indicator_code,v_4815,v_4815_lev_b,b,1.0
MappedCodeTransform,impact_code,v_4923,v_4923_impact_code,a,0.2141649725929247
MappedCodeTransform,impact_code,v_4923,v_4923_impact_code,b,-0.24093434207151557
MappedCodeTransform,deviation_code,v_4923,v_4923_deviation_code,a,1.5010967542268736
MappedCodeTransform,deviation_code,v_4923,v_4923_deviation_code,b,1.3105021470444171
MappedCodeTransform,prevalence_code,v_4923,v_4923_prevalence_code,a,0.52
MappedCodeTransform,prevalence_code,v_4923,v_4923_prevalence_code,b,0.48
IndicatorCodeTransform,indicator_code,v_4923,v_4923_lev_a,a,1.0
IndicatorCodeTransform,indicator_code,v_4923,v_4923_lev_b,b,1.0
MappedCodeTransform,impact_code,v_4381,v_4381_impact_code,a,0.17579780169515422
MappedCodeTransform,impact_code,v_4381,v_4381_impact_code,b,-0.15000002031229712
MappedCodeTransform,deviation_code,v_4381,v_4381_deviation_code,a,1.3618379372400933
MappedCodeTransform,deviation_code,v_4381,v_4381_deviation_code,b,1.4736529392413589
MappedCodeTransform,prevalence_code,v_4381,v_4381_prevalence_code,a,0.46
MappedCodeTransform,prevalence_code,v_4381,v_4381_prevalence_code,b,0.54
IndicatorCodeTransform,indicator_code,v_4381,v_4381_lev_b,b,1.0
IndicatorCodeTransform,indicator_code,v_4381,v_4381_lev_a,a,1.0
MappedCodeTransform,impact_code,v_4367,v_4367_impact_code,a,-0.11239027239253861
MappedCodeTransform,impact_code,v_4367,v_4367_impact_code,b,0.10712987153225638
MappedCodeTransform,deviation_code,v_4367,v_4367_deviation_code,a,1.453956643881825
MappedCodeTransform,deviation_code,v_4367,v_4367_deviation_code,b,1.4088199902915053
MappedCodeTransform,prevalence_code,v_4367,v_4367_prevalence_code,a,0.47
MappedCodeTransform,prevalence_code,v_4367,v_4367_prevalence_code,b,0.53
IndicatorCodeTransform,indicator_code,v_4367,v_4367_lev_b,b,1.0
IndicatorCodeTransform,indicator_code,v_4367,v_4367_lev_a,a,1.0
MappedCodeTransform,impact_code,v_2459,v_2459_impact_code,a,-0.001123867256987276
MappedCodeTransform,impact_code,v_2459,v_2459_impact_code,b,0.000912684255366059
MappedCodeTransform,deviation_code,v_2459,v_2459_deviation_code,a,1.3598811602574008
MappedCodeTransform,deviation_code,v_2459,v_2459_deviation_code,b,1.5156947946713115
MappedCodeTransform,prevalence_code,v_2459,v_2459_prevalence_code,a,0.49
MappedCodeTransform,prevalence_code,v_2459,v_2459_prevalence_code,b,0.51
IndicatorCodeTransform,indicator_code,v_2459,v_2459_lev_b,b,1.0
IndicatorCodeTransform,indicator_code,v_2459,v_2459_lev_a,a,1.0
MappedCodeTransform,impact_code,v_198,v_198_impact_code,a,-0.010764728743542031
MappedCodeTransform,impact_code,v_198,v_198_impact_code,b,0.011194071583143828
MappedCodeTransform,deviation_code,v_198,v_198_deviation_code,a,1.5087211057295498
